,car_name,variant,transmission,km_driven,owner_type,fuel_type,registeration,price,Date,year
0,Tata NEXON,XM 1.2,Manual,95230,1st Owner,Petrol,UP-16,650000.0,2018-12-31,2018-01-01
1,Renault Kwid,1.0 RXT Opt,Manual,72956,2nd Owner,Petrol,HR-11,319000.0,2019-03-05,2017-01-01
2,HYUNDAI ELITE I20,ASTA 1.2 (O),Manual,50636,2nd Owner,Petrol,DL-7C,587000.0,2024-08-08,2017-01-01
3,Mahindra XUV 3OO,W8(O),Manual,86652,1st Owner,Diesel,DL-12,822000.0,2025-01-25,2019-01-01
4,Hyundai Creta,1.5 SX (O) AT,Automatic,20235,1st Owner,Petrol,DL-9C,1674000.0,2020-01-14,2020-01-01
5,MAHINDRA SCORPIO,S11,Manual,15235,1st Owner,Diesel,UP-32,1731000.0,2020-11-01,2021-01-01
6,Hyundai Verna,FLUIDIC 1.4 VTVT CX,Manual,57937,1st Owner,Petrol,DL-12,501000.0,2021-09-16,2014-01-01
7,Tata Tiago,XZ PETROL,Manual,50097,1st Owner,Petrol,HR-26,419000.0,2022-10-01,2017-01-01
8,Maruti Eeco,5 STR WITH A/C+HTR,Manual,15468,1st Owner,Petrol,DL-2C,486000.0,2023-03-26,2019-01-01
9,VOLKSWAGEN POLO,HIGHLINE1.2L PETROL,Manual,64704,2nd Owner,Petrol,DL-3C,495000.0,2021-08-25,2015-01-01
10,Maruti WAGON R 1.0,LXI,Manual,83279,1st Owner,Petrol,DL-1C,332000.0,2020-06-25,2017-01-01
11,Maruti ALTO 800,LXI CNG,Manual,95040,1st Owner,CNG,DL-5C,304000.0,2020-06-08,2018-01-01
12,SKODA KUSHAQ,ACTIVE 1.0 TSI MT,Manual,13624,1st Owner,Petrol,UP-14,1156000.0,2022-06-15,2022-01-01
13,Maruti Baleno,DELTA PETROL 1.2,Manual,68018,1st Owner,Petrol,DL-10,499000.0,2023-08-08,2016-01-01
14,FORD ECOSPORT,TITANIUM 1.5L DIESEL,Manual,96075,1st Owner,Diesel,DL-3C,789000.0,2025-02-09,2020-01-01
15,HYUNDAI GRAND I10,SPORTZ 1.2 KAPPA VTVT,Manual,23308,1st Owner,Petrol,DL-8C,396000.0,2022-01-08,2015-01-01
16,Maruti S Cross,SIGMA 1.5 SHVS,Manual,9769,1st Owner,Petrol,DL-7C,879000.0,2024-06-08,2021-01-01
17,RENAULT DUSTER,85 PS RXE DIESEL ADVENTURE,Manual,56105,1st Owner,Diesel,DL-1C,388000.0,2021-05-09,2014-01-01
18,Maruti SWIFT,ZXI+,Manual,28899,1st Owner,Petrol,DL-6C,631000.0,2019-11-22,2018-01-01
19,Hyundai Verna,1.6 SX VTVT,Manual,25995,2nd Owner,Petrol,DL-8C,822000.0,2020-02-07,2018-01-01
20,Maruti SWIFT,LXI,Manual,12982,1st Owner,Petrol,DL-6C,589000.0,2022-02-20,2021-01-01
21,HYUNDAI SANTRO XING,GLS,Manual,95604,1st Owner,Petrol,HR-26,247000.0,2022-04-25,2014-01-01
22,RENAULT KWID,RXL,Manual,8611,1st Owner,Petrol,HR-26,398000.0,2022-12-28,2020-01-01
23,Maruti VITARA BREZZA,ZDI PLUS AMT,Automatic,66354,1st Owner,Diesel,UP-37,840000.0,2024-09-19,2018-01-01
24,HYUNDAI CRETA,1.6 SX (O) CRDI,Manual,56461,1st Owner,Diesel,DL-8C,765000.0,2020-01-14,2015-01-01
25,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,31109,1st Owner,Petrol,DL-3C,428000.0,2021-10-29,2016-01-01
